City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
138,Lhokseumawe,ID,77.04,few clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
139,Manokwari,ID,77.54,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
141,Puerto Del Rosario,ES,65.95,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
143,Kanniyakumari,IN,77.38,broken clouds,8.0833,77.5667,Sparsa
144,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
145,Victoria,HK,61.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
148,Nelson Bay,AU,69.01,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
151,Cairns,AU,76.06,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
153,Chuy,UY,70.29,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
155,Muisne,EC,82.51,light rain,0.6,-80.0333,Quinta Samay
157,Maumere,ID,78.67,overcast clouds,-8.6199,122.2111,Sylvia Hotel
160,Gamba,GA,77.49,light rain,-2.65,10.0,
161,Vila Franca Do Campo,PT,60.19,clear sky,37.7167,-25.4333,Pestana Bahia Praia
165,Saint-Pierre,RE,80.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
169,Mpanda,TZ,64.89,light rain,-6.3655,31.0409,CH Hotel - Mpanda
173,Arraial Do Cabo,BR,80.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
175,Bredasdorp,ZA,67.32,light rain,-34.5322,20.0403,Bredasdorp Country Manor
177,Fortuna,US,67.42,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
178,Codrington,AU,62.58,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
180,Necochea,AR,68.58,clear sky,-38.5473,-58.7368,dyd -mar Hotel
181,Baillif,GP,75.63,clear sky,16.0202,-61.7463,Hôtel Saint-Georges
182,Comodoro Rivadavia,AR,78.66,scattered clouds,-45.8667,-67.5,Austral Hotel
186,Abu Dhabi,AE,64.96,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
188,Mtambile,TZ,78.76,broken clouds,-5.3833,39.7,
189,Pitimbu,BR,84.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
192,Vaitape,PF,80.73,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
193,Porto Walter,BR,82.33,light rain,-8.2686,-72.7439,Secretaria de saúde
194,Namatanai,PG,79.57,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
195,Harper,LR,78.26,broken clouds,4.375,-7.7169,Screensaver
196,Makakilo City,US,76.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
197,Poum,NC,81.48,overcast clouds,-20.2333,164.0167,
